[main_menu]|en|fi|pt|ru|zh|ja|ko|de
item_type_uber|Special|Erityinen|Especial|Специальный|特别|特殊|특별한|Spezial
||||||||
[Short stat names]||||||||
stat_movement_speed|Movement Speed|Liikkumisnopeus|Velocidade|Скор. Передвиж.|移动速度|移動速度|이동 속도|Geschwindigkeit
stat_ruby_drops|Ruby Drops|Lisää Rubiineja|Mais Rubis|Выпад. Рубинов|更红宝石|より多くのルビー|더 루비|Rubindrops
stat_experience|Experience|Kokemusta|Experiência|Ув. получ. Опыта|经验|経験|경험|Erfahrung
||||||||
[Loot names]||||||||
loot_body_part|Body part|Ruumiinosa|Parte do Corpo|Часть Тела|身体的一部分|ボディ部|신체 부위|Körperteil
loot_brick|Brick|Tiili|Tijolo|Кирпич|砖|煉瓦|벽돌|Backstein
loot_christmas_star|Christmas Star|Joulutähti|Estrela de Natal|Рождественская Звезда|圣诞星|クリスマスの星|크리스마스 스타|Weihnachtsstern
loot_christmas_tree|Christmas Tree|Joulukuusi|Árvore de Natal|Рождественская Елка|圣诞树|クリスマスツリー|크리스마스 트리|Weihnachtsbaum
loot_coffee_beans|Coffee Beans|Kahvipavut|Grãos de café|Кофейные Зерна|咖啡豆|コーヒー豆|커피 콩|Kaffeebohnen
loot_coffee_mug|Coffee Mug|Kahvimuki|Coffee Mug|Coffee Mug|Coffee Mug|Coffee Mug|Coffee Mug|Kaffeetasse
loot_mystery_hat|Mystery Hat|Mysteerihattu|chapéu mistério|Таинственная Шляпа|神秘的帽子|ミステリー帽子|미스터리 모자|Mysteriöser Hut
loot_mystery_wings|Mystery Wings|Mystery Wings|Mystery Wings|Mystery Wings|Mystery Wings|Mystery Wings|Mystery Wings|Mysteriöse Flügel
loot_pile_of_socks|Pile of Socks|Sukkakasa|Pilha de Meias|Кучка Носков|一堆袜子|靴下の山|양말의 더미|Stapel von Socken
loot_snowman_head|Snowman's Head|Lumiukon Pää|Cabeça do boneco de neve|Голова Снеговика|雪人的头|雪だるまの頭|눈사람의 머리|Schneemann-Kopf
loot_skeleton_bone|Skeleton Bone|Luurankon Luu|Osso Esqueleto|Кость Скелета|骷髅骨|スケルトンの骨|골격 뼈|Skelett Knochen
loot_bards_guitar|Bard's Guitar|Bardin Kitara|Guitarra do Bardo|Гитара Барда|吟游诗人的吉他|バードのギター|음유 시인의 기타|Bardengitarre
loot_moonshine|Moonshine|Pontikka|Luar|Самогон|空想|狂想|달빛|schwarzgebrannter Schnaps
loot_beer|Beer|Kalja|Cerveja|Пиво|啤酒|ビール|맥주|Bier
loot_wine|Wine|Viini|Vinho|Вино|葡萄酒|ワイン|포도주|Wein
loot_grapes|Grapes|Rypäleet|Uvas|Виноград|葡萄|葡萄|포도|Trauben
loot_metal_debris|Metal Debris|Metallipirstaleet|Detritos de Metal|Металлические Обломки|金属碎片|金属の破片|금속 파편|Metalltrümmer
loot_essence|Essence|Esanssi|Essência|Эссенция|本质|エッセンス|본질|Essenz
loot_gemstone|Rainbow Gemstone|||||||
loot_braggite|Braggite|||||||
loot_corrupted_dirt|Corrupted Dirt|||||||
loot_hogmeat|Delicious Hog Meat|||||||
loot_doom_weed|Doom Weed|||||||
loot_essence_of_gods|Essence of the Gods|||||||
loot_naga_scale|Naga Scale|||||||
loot_cart_wheel|Mining Cart Wheel|||||||
loot_golden_statue|Golden Warrior Statue|||||||
loot_naga_amulet|Golden Snake Amulet|||||||
loot_hero_skull|Hero Skull|||||||
loot_fat_pumpkin|Fat Pumpkin|||||||
loot_maggot_corpse|Yummy maggot|||||||
loot_spellbook_ahriman|Mysterious spellbook|||||||
loot_ginseng|Ginseng|||||||
loot_loska|Loska|||||||
loot_frost_dill|Frost Dill|||||||
loot_vermroot|Vermroot|||||||
loot_fanglen|Fanglen|||||||
loot_carnage_track|Bear tracks|||||||
loot_jaspers_whip|Jasper's Whip|||||||
loot_staff_map|Old Map|||||||
loot_devils_cabbage|Devil's Cabbage|||||||
loot_empty_mining_cart|Empty Mining Cart|||||||
loot_sturdy_bamboo|Sturdy Bamboo|||||||
loot_aki_workbench|Aki's Workbench|||||||
loot_spiderweb|Thick Spiderweb|||||||
loot_metal_hook|Metal Hook|||||||
loot_eternal_chalice|The Eternal Chalice|||||||
loot_soul|Lost Soul|||||||
loot_sealed_grave|Seal of Eternity|||||||
||||||||
||||||||
[Marketplace]||||||||
sell_item|Sell item|Myy esine|Vender item|Продать предмет|出售物品|アイテムを売る|상품 판매|Gegenstand verkaufen
buy_item|Buy item|Osta esine|Comprar item|Купить предмет|买东西|商品を購入|물건을 사다|Gegenstand kaufen
remove_item|Remove item|Poista esine|Remover item|Снять предмет|除去项目|アイテムを削除する|항목 제거|Gegenstand entfernen
claim_rubies|Claim rubies|Lunasta rubiinit|Reivindicar rubis|Снять рубины|索取红宝石|ルビーを要求する|루비 받기|Rubine auszahlen
search|Search|Haku|Pesquisa|Поиск|搜索|探す|검색|Suche
sort|Sort|Lajittele|Ordenar|Сортировать|分类|ソート|종류|Sortieren
get_items|Get items|Hae esineet|Obter itens|Получить предметы|获取物品|アイテムを入手する|아이템 받기|Gegenstände einholen
get_own_items|My listings|Omat esineet|Minhas listas|Мои товары|我的清单|私のリスト|내 목록|Meine Angebote
type|Type|Tyyppi|Tipo|Тип|类型|タイプ|유형|Art
damage_type|Damage type|Vahinkotyyppi|Tipo de dano|Тип Урона|损坏类型|ダメージタイプ|손상 유형|Schadensart
rarity|Rarity|Harvinaisuus|Raridade|Редкость|稀有度|希少性|희박|Seltenheit
expired|Expired|Vanhentunut|Expirado|Истекло|已过期|期限切れ|만료 됨|Abgelaufen
unit_price|Unit Price|Yksikköhinta|Preço unitário|Цена за ед.|单位价格|単位：百万円|Unit Price|Stückpreis
market_items_sold|You have sold items in the market|Sinulla on myytyjä tuotteita marketissa|Você vendeu itens no mercado|Имеются проданные товары|您已在市场上出售商品|市場で商品を販売しました|시장에서 품목을 판매했습니다.|Du hast Gegenstände auf dem Markt verkauft
market_items_expired|You have expired items in the market|Sinulla on vanhentuneita tuotteita marketissa|Você expirou itens no mercado|Имеются товары с истёкшим сроком|您在市场上有过期的物品|市場で期限切れのアイテムがあります|시장에서 만료 된 항목이 있습니다.|Du hast abgelaufene Gegenstände auf dem Markt
market_tax|7% tax on sale completion|7% vero myynnin päätöksessä|7% de imposto sobre a conclusão da venda|7% налог при продаже|完成销售的7％税|販売完了時に7％の税金|판매 완료시 7 % 세금|7% Steuer bei Abschluss des Verkaufs
market_connect|Connection to the marketplace failed.|Yhteys markkinapaikalle epäonnistui.|A conexão com o mercado falhou.|Не удалось подключиться к Торговой Системе.|与市场的连接失败。|マーケットプレイスへの接続に失敗しました。|마켓 플레이스에 연결하지 못했습니다.|Die Verbindung zum Marktplatz ist fehlgeschlagen.
market_limit_reached|Apply search terms or filters to narrow your results.|Aseta hakutermejä tai suodattimia tuloksien kaventamiseksi.|Aplique termos de busca ou filtros para restringir seus resultados.|Примените фильтры, чтобы сузить поиск.|应用搜索词或过滤器来缩小结果范围。|検索条件やフィルターを適用して、検索結果を絞り込むことができます。|Apply search terms or filters to narrow your results.|Wende Suchbegriffe oder Filter an, um die Ergebnisse einzugrenzen.
market_list_filled|No more results found with current criteria.|Enempää tuloksia ei löytynyt nykyisillä kriteereillä.|Não foram encontrados mais resultados com os critérios atuais.|Других результатов по заданным критериям поиска не найдено.|在目前的标准下没有找到更多的结果。|現在の基準では、これ以上の結果は見つかりませんでした。|No more results found with current criteria.|Keine weiteren Ergebnisse mit aktuellen Kriterien gefunden.
market_send_full|You can sell 10 items at a time|Voit myydä 10 tuotetta kerrallaan|Você pode vender 10 itens de cada vez|Вы можете выставить на продажу не более 10 товаров одновременно.|你可以一次销售10件物品|一度に10個のアイテムを販売することができます。|You can sell 10 items at a time|Du kannst höchstens 10 Gegenstände auf einmal verkaufen
market_pending|Pending confirmation from the buyer|Odottaa ostajan vahvistusta|Pending confirmation from the buyer|Pending confirmation from the buyer|Pending confirmation from the buyer|Pending confirmation from the buyer|Pending confirmation from the buyer|Ausstehende Bestätigung vom Käufer
market_instructions_welcome|[c_coin]Welcome to the Tarethiel Marketplace|[c_coin]Tervetuloa Tarethielin Markettiin|Bem-vindo ao Tarethiel Marketplace|Добро пожаловать на Таретиэльский Аукцион|欢迎来到Tarethiel市场|タレシエルマーケットプレイスへようこそ|Welcome to the Tarethiel Marketplace|Willkommen auf dem Tarethiel-Marktplatz
market_instructions_tax|The tax is 1% when listing items and 5% when claiming a sold listing.|Vero on 1%, kun listataan esineitä, ja 5%, kun lunastetaan myytyjä esineitä.|O imposto é de 1% ao listar itens e 5% ao reivindicar uma listagem vendida.|Взимается налог в размере 1% при выставлении товара и в размере 5% при продаже.|在列出物品时，税率为1%，在要求出售物品时，税率为5%。|税金は、商品を出品する際には1％、売れた商品をクレームする際には5％です。|The tax is 1% when listing items and 5% when claiming a sold listing.|Die Steuer beträgt 1 % beim Einstellen von Gegenständen und 5 % bei der Reklamation eines verkauften Gegenstands.
market_instructions_expiration|Listings that are older than 30 days will be permanently deleted if they are not claimed or recalled.|Yli 30 päivää vanhat ilmoitukset poistetaan pysyvästi, jos niitä ei lunasteta tai kerätä takaisin.|As listas com mais de 30 dias serão permanentemente apagadas se não forem reclamadas ou chamadas de volta.|Через 30 дней после выставления товара лот будет удалён. При удалении непроданный товар или неснятая валюта будут безвозвратно утеряны.|如果没有人认领或召回，超过30天的列表将被永久删除。|30日以上経過したリスティングは、クレームやリコールがない場合、永久に削除されます。|Listings that are older than 30 days will be permanently deleted if they are not claimed or recalled.|Einträge, die älter als 30 Tage sind, werden dauerhaft gelöscht, wenn sie nicht beansprucht oder zurückgerufen werden.
market_critical_error|Network communication data was lost. The Marketplace will be closed.|Verkkoyhteys katkaistu. Marketti suljetaan.|Network communication data was lost. The Marketplace will be closed.|Network communication data was lost. The Marketplace will be closed.|Network communication data was lost. The Marketplace will be closed.|Network communication data was lost. The Marketplace will be closed.|Network communication data was lost. The Marketplace will be closed.|Network communication data was lost. The Marketplace will be closed.
steam_scrap_confirm|Are you sure you want to scrap this item? This will cause the item to be permanently destroyed. |Oletko varma että haluat tuhota tämän esineen? Esine tuhoutuu tällöin pysyvästi.|Tem certeza que gostaria de sucatear este item? Isto fará com que o item seja destruído permanentemente.|Вы уверены, что хотите утилизировать этот предмет? Он будет безвозвратно уничтожен.|破坏此道具会导致道具永远消失 |Are you sure you want to scrap this item?|정말 이 물건을 폐기하시겠습니까? 그러면 항목이 영구적으로 삭제됩니다 |Möchtest Du diesen Gegenstand wirklich zerlegen? Durch diese Aktion wird das Item permanent zerstört.
